7973284	0	0	126976
539613	0	0	117760
2299905	0	0	102400
714549	0	0	100352
9697241	0	0	100352
2858116	0	0	93184
9973470	0	0	83968
807900	0	0	81920
6261783	0	0	81920
9378572	0	0	81920
2504725	0	0	81920
3452281	0	0	80896
3781299	0	0	78848
9670287	0	0	77824
9510922	0	0	76800
3518671	0	0	75776
3774364	0	0	75776
101289	0	0	73728
3809891	0	0	72704
7574543	0	0	72704
617491	0	0	72704
3101613	0	0	71680
9376212	0	0	71680
141141	0	0	71680
3764968	0	0	70656
1839088	0	0	70656
543539	0	0	70656
4589744	0	0	70656
8999683	0	0	70656
1832937	0	0	70656
1944390	0	0	70656
8739286	0	0	70656
8536216	0	0	70656
2688721	0	0	69632
7792943	0	0	69632
9062730	0	0	69632
3617536	0	0	69632
2089397	0	0	69632
7788499	0	0	69632
7012738	0	0	68608
566395	0	0	68608
9891551	0	0	68608
9574428	0	0	67584
1240368	0	0	67584
6304984	0	0	67584
1147694	0	0	67584
3329670	0	0	67584
8829303	0	0	66560
1591841	0	0	66560
2707031	0	0	66560
7387982	0	0	66560
1626895	0	0	66560
6911925	0	0	66560
5230072	0	0	66560
6984684	0	0	65536
3095963	0	0	65536
4456056	0	0	65536
7812663	0	0	64512
5092198	0	0	64512
8906966	0	0	64512
9118884	0	0	64512
3386721	0	0	64512
5024336	0	0	63488
9511314	0	0	63488
3127267	0	0	63488
7396382	0	0	63488
2552922	0	0	63488
5835404	0	0	63488
6407916	0	0	62464
2983554	0	0	62464
5433863	0	0	62464
9228663	0	0	62464
6914352	0	0	62464
8567857	0	0	62464
4945525	0	0	62464
8783994	0	0	62464
1581572	0	0	61440
6122576	0	0	61440
8010461	0	0	61440
1963894	0	0	61440
6844905	0	0	61440
7980142	0	0	61440
8226363	0	0	61440
7107579	0	0	61440
4644817	0	0	60416
1361743	0	0	60416
2568070	0	0	60416
5888244	0	0	60416
135613	0	0	60416
409207	0	0	59392
1070196	0	0	59392
6748433	0	0	59392
6196640	0	0	59392
2606492	0	0	59392
7235326	0	0	59392
4819701	0	0	59392
9346952	0	0	59392
1120364	0	0	59392
9650013	0	0	59392
1837079	0	0	58368
