6321123900043779925	89	-89	5128192
6321123900010656337	62	90	4997120
6321123900043961253	-69	56	4816896
6321123900010124619	87	32	4800512
6321123900043463602	-118	51	4685824
6321123900038377126	180	50	4653056
6321123900048131173	50	-70	4636672
6321123900030942724	-13	-184	4571136
6321123900024721785	-51	-193	4538368
6321123900014905445	14	73	4521984
6321123900019807269	-17	95	4489216
6321123900019097004	23	-256	4423680
6321123900015502707	279	47	4407296
6321123900037671167	-51	83	4390912
6321123900020510465	-91	-108	4390912
6321123900003782838	-46	141	4390912
6321123900017590755	125	-51	4390912
6321123900003161500	-151	85	4374528
6321123900031962289	92	159	4374528
6321123900013730533	113	-52	4358144
