262	0	0
447	0	0
493	16	92
458	-80	-48
556	-68	-80
635	-16	16
702	0	0
767	0	0
1221	0	0
1437	0	0
1441	-48	48
1481	0	0
1665	-64	72
1617	64	-48
2085	0	0
2180	0	0
2589	0	0
2717	-48	4
2819	0	0
2995	48	-32
3073	16	20
3477	0	0
3497	0	0
4015	0	8
4046	-64	32
4172	0	0
4280	0	0
4297	-64	36
4382	-80	-80
4348	0	0
4522	0	0
4807	-60	-48
5495	80	-76
5846	12	0
6147	0	0
6188	0	0
6248	60	8
6319	0	0
6361	-16	-16
6626	0	0
7147	76	-64
7554	64	68
7889	4	-32
8195	-80	-80
8257	76	44
8462	0	0
8756	-16	-32
8791	0	4
9242	68	-36
9588	88	44
9924	0	0
10024	0	0
9992	-32	-32
9986	72	-36
10174	-16	16
10217	0	8
10277	92	84
10602	0	0
10669	64	76
11017	0	0
10959	40	8
11053	0	0
11170	0	0
11485	40	12
11960	0	0
12231	0	-80
12308	28	0
12490	28	8
12762	0	0
13452	0	0
13607	0	0
13710	0	0
13795	-80	-48
14051	0	0
14923	0	0
14931	0	0
14939	-48	-8
15142	68	-48
15166	72	76
15168	84	60
15395	76	8
15575	0	0
15770	40	-32
16150	0	0
16236	-32	60
16391	20	0
16732	24	12
16823	0	0
16906	0	0
17994	24	24
17995	0	0
18368	0	0
18458	0	0
18670	12	0
19038	-32	-32
19336	0	0
19520	0	0
19605	0	0
19664	-32	-28
19779	0	0
20479	40	-4
20582	-48	-12
20590	0	0
20672	0	0
20624	20	44
20887	20	12
20998	-48	-48
21100	0	0
21328	0	0
21467	64	76
21794	16	16
22124	-80	-80
22254	40	-16
22273	0	0
22438	-32	48
22572	-80	92
22674	-16	0
22718	0	0
22818	8	-32
22822	4	0
22758	-64	-32
22902	44	36
22884	-40	-32
22888	76	28
23044	-80	-16
23166	32	92
23270	0	0
24191	0	8
24127	-80	-48
24287	-80	-80
24297	72	76
24510	0	0
24597	0	0
24823	0	0
24882	-64	-64
24896	-20	-48
24943	32	60
25033	60	-64
25306	-80	92
25529	-40	76
25757	0	0
25913	-48	48
25993	0	0
25956	0	0
26123	0	0
26245	0	0
26398	0	0
26547	72	-48
26758	-80	-32
26866	16	12
26981	0	0
27182	0	12
27285	0	0
27313	-4	-48
27463	0	0
27796	0	0
28299	0	0
28653	0	0
29045	16	44
29320	0	0
29443	-64	40
